configuration,average
"ranker_{""alpha"": 0.0}_orderer_{""k"": 5}_tiler_{""word_limit"": 25}_rouge_{}_",0.2614731273802866
"ranker_{""alpha"": 0.0}_orderer_{""k"": 5}_tiler_{""word_limit"": 50}_rouge_{}_",0.307863483630183
"ranker_{""alpha"": 0.0}_orderer_{""k"": 5}_tiler_{""word_limit"": 75}_rouge_{}_",0.3150785222200241
"ranker_{""alpha"": 0.0}_orderer_{""k"": 5}_tiler_{""word_limit"": 100}_rouge_{}_",0.31633449819190224
"ranker_{""alpha"": 0.0}_orderer_{""k"": 4}_tiler_{""word_limit"": 25}_rouge_{}_",0.26284363939759486
"ranker_{""alpha"": 0.0}_orderer_{""k"": 5}_tiler_{""word_limit"": 125}_rouge_{}_",0.31618694926791185
"ranker_{""alpha"": 0.0}_orderer_{""k"": 4}_tiler_{""word_limit"": 50}_rouge_{}_",0.30474277852492937
"ranker_{""alpha"": 0.0}_orderer_{""k"": 5}_tiler_{""word_limit"": 150}_rouge_{}_",0.3136118235120069
"ranker_{""alpha"": 0.0}_orderer_{""k"": 4}_tiler_{""word_limit"": 75}_rouge_{}_",0.31306000811032386
"ranker_{""alpha"": 0.0}_orderer_{""k"": 5}_tiler_{""word_limit"": 175}_rouge_{}_",0.31024523050925135
"ranker_{""alpha"": 0.0}_orderer_{""k"": 5}_tiler_{""word_limit"": 200}_rouge_{}_",0.30757680805853543
"ranker_{""alpha"": 0.0}_orderer_{""k"": 4}_tiler_{""word_limit"": 100}_rouge_{}_",0.31516680874376496
"ranker_{""alpha"": 0.0}_orderer_{""k"": 5}_tiler_{""word_limit"": 225}_rouge_{}_",0.3044799940846539
"ranker_{""alpha"": 0.0}_orderer_{""k"": 3}_tiler_{""word_limit"": 25}_rouge_{}_",0.26221983832360607
"ranker_{""alpha"": 0.0}_orderer_{""k"": 4}_tiler_{""word_limit"": 125}_rouge_{}_",0.31426135017775153
"ranker_{""alpha"": 0.0}_orderer_{""k"": 5}_tiler_{""word_limit"": 250}_rouge_{}_",0.30267905025401726
"ranker_{""alpha"": 0.0}_orderer_{""k"": 5}_tiler_{""word_limit"": 275}_rouge_{}_",0.3013713438940958
"ranker_{""alpha"": 0.0}_orderer_{""k"": 3}_tiler_{""word_limit"": 50}_rouge_{}_",0.30795678836938123
"ranker_{""alpha"": 0.0}_orderer_{""k"": 4}_tiler_{""word_limit"": 150}_rouge_{}_",0.31211413988170955
"ranker_{""alpha"": 0.0}_orderer_{""k"": 5}_tiler_{""word_limit"": 300}_rouge_{}_",0.30060045378605843
"ranker_{""alpha"": 0.0}_orderer_{""k"": 4}_tiler_{""word_limit"": 225}_rouge_{}_",0.30434926418429104
"ranker_{""alpha"": 0.0}_orderer_{""k"": 4}_tiler_{""word_limit"": 250}_rouge_{}_",0.30213086895828284
"ranker_{""alpha"": 0.0}_orderer_{""k"": 4}_tiler_{""word_limit"": 275}_rouge_{}_",0.30083823974690493
