configuration,average
"ranker_{""alpha"": 0.0}_orderer_{""k"": 4}_tiler_{""word_limit"": 25}_rouge_{}_",0.26157385795748195
"ranker_{""alpha"": 0.0}_orderer_{""k"": 4}_tiler_{""word_limit"": 50}_rouge_{}_",0.30613848296125273
"ranker_{""alpha"": 0.0}_orderer_{""k"": 4}_tiler_{""word_limit"": 75}_rouge_{}_",0.31210842912404196
"ranker_{""alpha"": 0.0}_orderer_{""k"": 4}_tiler_{""word_limit"": 100}_rouge_{}_",0.3133136047053986
"ranker_{""alpha"": 0.0}_orderer_{""k"": 4}_tiler_{""word_limit"": 125}_rouge_{}_",0.31382556717579674
"ranker_{""alpha"": 0.0}_orderer_{""k"": 4}_tiler_{""word_limit"": 150}_rouge_{}_",0.31015909734818875
"ranker_{""alpha"": 0.0}_orderer_{""k"": 4}_tiler_{""word_limit"": 175}_rouge_{}_",0.30896455896278324
"ranker_{""alpha"": 0.0}_orderer_{""k"": 4}_tiler_{""word_limit"": 200}_rouge_{}_",0.30549891566805787
"ranker_{""alpha"": 0.0}_orderer_{""k"": 4}_tiler_{""word_limit"": 225}_rouge_{}_",0.30343816758125064
"ranker_{""alpha"": 0.0}_orderer_{""k"": 4}_tiler_{""word_limit"": 250}_rouge_{}_",0.3013250783771456
"ranker_{""alpha"": 0.0}_orderer_{""k"": 2}_tiler_{""word_limit"": 25}_rouge_{}_",0.25906829528363845
"ranker_{""alpha"": 0.0}_orderer_{""k"": 4}_tiler_{""word_limit"": 275}_rouge_{}_",0.30076508136191543
"ranker_{""alpha"": 0.0}_orderer_{""k"": 2}_tiler_{""word_limit"": 50}_rouge_{}_",0.3031668148129368
"ranker_{""alpha"": 0.0}_orderer_{""k"": 4}_tiler_{""word_limit"": 300}_rouge_{}_",0.30005734644745535
"ranker_{""alpha"": 0.0}_orderer_{""k"": 2}_tiler_{""word_limit"": 75}_rouge_{}_",0.31017636443557994
"ranker_{""alpha"": 0.0}_orderer_{""k"": 2}_tiler_{""word_limit"": 100}_rouge_{}_",0.31088947880636414
"ranker_{""alpha"": 0.0}_orderer_{""k"": 2}_tiler_{""word_limit"": 125}_rouge_{}_",0.312409032419559
